question,answer
"How do I reset my password?","To reset your password, click on 'Forgot Password' on the login page and follow the instructions."
"How can I contact customer support?","You can contact our customer support via the chat button or email us at support@example.com."
"Where can I view my order history?","Go to your profile, then click on 'Orders' to view your order history."
"Can I cancel my subscription anytime?","Yes, you can cancel your subscription from your account settings at any time."
"Do you offer refunds?","Yes, we offer refunds within 14 days of purchase if eligible. Please refer to our refund policy."
"How long does delivery take?","Delivery typically takes 3-5 business days depending on your location."
"Is there a mobile app available?","Yes, we have mobile apps for both iOS and Android. Search for our app in the store."
"How do I change my email address?","Log in to your account, go to settings, and update your email under 'Account Info'."
"Why was my payment declined?","Your payment may be declined due to incorrect details or insufficient funds. Please try again or use another method."
"Can I get an invoice for my purchase?","Yes, invoices are automatically emailed after every successful transaction."
"How do I update my shipping address?","Go to 'My Account' > 'Addresses' and click 'Edit' next to your shipping address."
"Is my data secure with you?","Yes, we use encryption and industry-standard security measures to protect your data."
"What payment methods are accepted?","We accept Visa, MasterCard, PayPal, and UPI."
"How do I enable two-factor authentication?","Go to Security Settings in your profile and enable 2FA using your preferred method."
"What do I do if my product is defective?","Please contact support within 7 days and we will arrange a replacement or refund."
